"","symbol","date","open","high","low","close","volume","adjusted","ma7","ma200","RSI"
"1","BTC-USD",2019-01-01,3746.713379,3850.913818,3707.231201,3843.52002,4324200990,3843.52002,NA,NA,NA
"2","BTC-USD",2019-01-02,3849.216309,3947.981201,3817.409424,3943.409424,5244856836,3943.409424,NA,NA,NA
"3","BTC-USD",2019-01-03,3931.048584,3935.685059,3826.2229,3836.741211,4530215219,3836.741211,NA,NA,NA
"4","BTC-USD",2019-01-04,3832.040039,3865.93457,3783.85376,3857.717529,4847965467,3857.717529,NA,NA,NA
"5","BTC-USD",2019-01-05,3851.973877,3904.903076,3836.900146,3845.19458,5137609824,3845.19458,NA,NA,NA
"6","BTC-USD",2019-01-06,3836.519043,4093.297363,3826.513184,4076.632568,5597027440,4076.632568,NA,NA,NA
"7","BTC-USD",2019-01-07,4078.584961,4092.613525,4020.894043,4025.248291,5228625637,4025.248291,3918.35194614286,NA,NA
"8","BTC-USD",2019-01-08,4028.472168,4109.020996,3996.955322,4030.8479,5306593305,4030.8479,3945.11307185714,NA,NA
"9","BTC-USD",2019-01-09,4031.552002,4068.403564,4022.662842,4035.296387,5115905225,4035.296387,3958.23978085714,NA,NA
"10","BTC-USD",2019-01-10,4034.411377,4064.06665,3659.174561,3678.924561,6874143796,3678.924561,3935.69454514286,NA,NA
"11","BTC-USD",2019-01-11,3674.015381,3713.881836,3653.069824,3687.365479,5538712865,3687.365479,3911.358538,NA,NA
"12","BTC-USD",2019-01-12,3686.973145,3698.978271,3653.810791,3661.301025,4778170883,3661.301025,3885.08803014286,NA,NA
"13","BTC-USD",2019-01-13,3658.868164,3674.76001,3544.927246,3552.953125,4681302466,3552.953125,3810.27668114286,NA,NA
"14","BTC-USD",2019-01-14,3557.311035,3727.836182,3552.285156,3706.052246,5651384490,3706.052246,3764.67724614286,NA,NA
"15","BTC-USD",2019-01-15,3704.216309,3720.15332,3619.949219,3630.675293,5537192302,3630.675293,3707.50973085714,NA,41.5579910729555
"16","BTC-USD",2019-01-16,3631.509766,3685.7771,3624.67334,3655.006836,5394457145,3655.006836,3653.18265214286,NA,42.7480206284114
"17","BTC-USD",2019-01-17,3651.871094,3680.135986,3621.960938,3678.563965,5464420383,3678.563965,3653.13113842857,NA,43.9382660781711
"18","BTC-USD",2019-01-18,3677.990479,3682.52002,3637.080811,3657.839355,5002961727,3657.839355,3648.91312071429,NA,43.089541868968
"19","BTC-USD",2019-01-19,3652.37793,3758.533447,3652.37793,3728.568359,5955691380,3728.568359,3658.52273985714,NA,46.8620025221307
"20","BTC-USD",2019-01-20,3725.446045,3743.387939,3583.019531,3601.013672,5582489560,3601.013672,3665.38853228571,NA,41.5170627062984
"21","BTC-USD",2019-01-21,3600.372803,3608.84082,3558.537109,3576.032471,5004347059,3576.032471,3646.81427871429,NA,40.5417891196666
"22","BTC-USD",2019-01-22,3575.081299,3620.746582,3539.721436,3604.577148,5313623556,3604.577148,3643.08597228571,NA,42.2122343768014
"23","BTC-USD",2019-01-23,3605.557129,3623.067871,3565.313965,3585.123047,5433755649,3585.123047,3633.10257385714,NA,41.3593987316224
"24","BTC-USD",2019-01-24,3584.500244,3616.087402,3569.092773,3600.865479,5262869046,3600.865479,3622.00279014286,NA,42.3739894857148
"25","BTC-USD",2019-01-25,3607.390381,3612.927734,3575.597412,3599.765869,5265847539,3599.765869,3613.70657785714,NA,42.3189114413391
"26","BTC-USD",2019-01-26,3599.715332,3654.933105,3593.345947,3602.460449,5098183235,3602.460449,3595.69116214286,NA,42.5160912917322
"27","BTC-USD",2019-01-27,3604.687256,3612.671387,3567.24585,3583.96582,5570752966,3583.96582,3593.25575471429,NA,41.4682770392492
"28","BTC-USD",2019-01-28,3584.283203,3586.750977,3439.23291,3470.450439,6908930483,3470.450439,3578.17260728571,NA,35.6593242118169
"29","BTC-USD",2019-01-29,3468.870117,3476.06543,3400.819824,3448.116943,5897159493,3448.116943,3555.82114942857,NA,34.6314517302947
"30","BTC-USD",2019-01-30,3443.896973,3495.174805,3429.387939,3486.181641,5955112627,3486.181641,3541.68666285714,NA,37.916147490133
"31","BTC-USD",2019-01-31,3485.40918,3504.804932,3447.915771,3457.792725,5831198271,3457.792725,3521.247698,NA,36.4452632133858
"32","BTC-USD",2019-02-01,3460.547119,3501.954102,3431.591553,3487.945313,5422926707,3487.945313,3505.27333285714,NA,39.1455334443027
"33","BTC-USD",2019-02-02,3484.625977,3523.287354,3467.574707,3521.060791,5071623601,3521.060791,3493.64481028571,NA,42.0572527419357
"34","BTC-USD",2019-02-03,3516.139648,3521.388184,3447.924316,3464.013428,5043937584,3464.013428,3476.50875428571,NA,38.6283698321863
"35","BTC-USD",2019-02-04,3467.21167,3476.223877,3442.586914,3459.154053,5332718886,3459.154053,3474.89498485714,NA,38.3416143866211
"36","BTC-USD",2019-02-05,3454.950928,3478.148193,3451.937012,3466.357422,5227549545,3466.357422,3477.50076757143,NA,39.0637535905939
"37","BTC-USD",2019-02-06,3469.091797,3469.091797,3398.56543,3413.767822,5482196038,3413.767822,3467.15593628571,NA,35.7699618322685
"38","BTC-USD",2019-02-07,3414.929443,3427.945557,3394.218506,3399.47168,5004962683,3399.47168,3458.82435842857,NA,34.90826576764
"39","BTC-USD",2019-02-08,3401.376465,3695.614014,3391.023682,3666.780273,7735623101,3666.780273,3484.37220985714,NA,56.1695769974628
"40","BTC-USD",2019-02-09,3671.585938,3679.941406,3646.559326,3671.203613,6158833645,3671.203613,3505.82118442857,NA,56.423230764869
"41","BTC-USD",2019-02-10,3673.201416,3695.036133,3640.97998,3690.188232,6282256903,3690.188232,3538.13187071429,NA,57.5584841062351
"42","BTC-USD",2019-02-11,3695.613037,3695.613037,3642.287842,3648.430664,6277056434,3648.430664,3565.17138657143,NA,54.2129983717068
