"","symbol","date","open","high","low","close","volume","adjusted","ma7","ma200","RSI"
"136","LTC-USD",2019-05-16,101.573143,106.20565,92.565117,95.585587,6442000276,95.585587,89.7090314285714,NA,65.2243687102625
"137","LTC-USD",2019-05-17,95.632607,97.258667,84.937782,88.995232,5319840521,88.995232,91.398829,NA,57.1769089958256
"138","LTC-USD",2019-05-18,89.010017,89.874954,85.800514,86.700188,3317998478,86.700188,91.038533,NA,54.6482399265926
"139","LTC-USD",2019-05-19,86.675331,96.542763,86.129234,95.321198,4108852208,95.321198,92.5750592857143,NA,61.5306156086194
"140","LTC-USD",2019-05-20,95.339371,95.339371,88.569275,91.493675,3566921483,91.493675,93.0658364285714,NA,57.3680717253987
"141","LTC-USD",2019-05-21,91.572083,92.44413,89.587975,91.507751,3145769021,91.507751,93.0497427142857,NA,57.3794908373561
"142","LTC-USD",2019-05-22,91.505104,92.002701,87.545143,88.210571,3398528443,88.210571,91.1163145714286,NA,53.7478214734494
"143","LTC-USD",2019-05-23,88.197609,89.73867,85.230118,89.176773,3208807269,89.176773,90.2007697142857,NA,54.6535598513194
"144","LTC-USD",2019-05-24,88.973946,102.749931,88.32444,99.90303,5393657682,99.90303,91.7590265714286,NA,63.2560048004133
"145","LTC-USD",2019-05-25,100.04554,104.105576,98.722878,102.672318,4507357465,102.672318,94.0407594285714,NA,65.096973476052
"146","LTC-USD",2019-05-26,102.700592,112.673218,99.743843,111.418602,5168378349,111.418602,96.3403885714286,NA,70.1788543657417
"147","LTC-USD",2019-05-27,111.435295,120.691711,111.127953,118.0326,6355361291,118.0326,100.131663571429,NA,73.3400143333412
"148","LTC-USD",2019-05-28,117.891891,117.891891,112.991241,114.93116,4171886802,114.93116,103.477864857143,NA,69.6135258077171
"149","LTC-USD",2019-05-29,114.925446,117.874443,110.472672,115.08123,4122926836,115.08123,107.316530428571,NA,69.6937685782613
"150","LTC-USD",2019-05-30,115.140594,119.741745,105.298332,108.795578,4971290022,108.795578,110.119216857143,NA,62.2757837612843
"151","LTC-USD",2019-05-31,108.69622,114.628044,105.913834,114.536957,4207966341,114.536957,112.209777857143,NA,65.8511358855741
"152","LTC-USD",2019-06-01,114.466255,115.606911,111.679024,112.61927,3807158511,112.61927,113.630771,NA,63.6801893312339
"153","LTC-USD",2019-06-02,112.710167,116.246994,111.912216,114.702835,3434073037,114.702835,114.099947142857,NA,65.0291702624367
"154","LTC-USD",2019-06-03,114.668709,115.905777,106.462448,107.468575,3832352496,107.468575,112.590800714286,NA,57.0993211634939
"155","LTC-USD",2019-06-04,107.372932,107.372932,99.294312,102.087822,4316694183,102.087822,110.756038142857,NA,52.0183480899878
"156","LTC-USD",2019-06-05,102.119499,104.844002,101.218842,103.849289,3585162872,103.849289,109.151475142857,NA,53.4778082802958
"157","LTC-USD",2019-06-06,103.806831,111.334335,102.088142,111.107224,4142250662,111.107224,109.481710285714,NA,59.0102356988582
"158","LTC-USD",2019-06-07,110.975151,120.639694,109.586571,117.374413,5140908477,117.374413,109.887061142857,NA,63.091767688343
"159","LTC-USD",2019-06-08,117.278076,119.498245,114.455498,118.552032,4689557936,118.552032,110.734598571429,NA,63.8207615971899
"160","LTC-USD",2019-06-09,118.58606,119.133209,112.568817,115.132301,4360301111,115.132301,110.795950857143,NA,60.107938058116
"161","LTC-USD",2019-06-10,114.99556,129.708817,113.169899,129.071442,5449266884,129.071442,113.882074714286,NA,68.2228828661949
"162","LTC-USD",2019-06-11,129.26413,138.148743,125.962524,136.029739,5441787587,136.029739,118.73092,NA,71.3554001726764
"163","LTC-USD",2019-06-12,136.085831,142.706406,132.238007,135.653748,5855623530,135.653748,123.274414142857,NA,70.9484128888322
