"","symbol","date","open","high","low","close","volume","adjusted","ma7","ma200","RSI"
"20","ETH-USD",2019-01-20,124.632401,125.070389,118.702324,119.474831,2964108269,119.474831,123.342077142857,NA,39.2845230617644
"21","ETH-USD",2019-01-21,119.636459,119.715439,116.15744,117.157852,2421720343,117.157852,121.640523714286,NA,38.0007652703023
"22","ETH-USD",2019-01-22,117.110756,119.664345,114.676682,118.747551,2552507405,118.747551,121.171214571429,NA,39.4624836036999
"23","ETH-USD",2019-01-23,118.713814,119.422798,116.376648,117.452606,2556952198,117.452606,120.300577428571,NA,38.6628476575791
"24","ETH-USD",2019-01-24,117.462784,118.032104,116.006798,117.362885,2520843420,117.362885,119.389286714286,NA,38.6044798923136
"25","ETH-USD",2019-01-25,117.594955,117.802994,115.830154,116.378342,2606881898,116.378342,118.727583857143,NA,37.9278323376204
"26","ETH-USD",2019-01-26,116.373528,118.084114,115.980576,116.488739,2412181169,116.488739,117.580400857143,NA,38.0589347693586
"27","ETH-USD",2019-01-27,116.510315,116.68541,113.405289,113.405289,2775888287,113.405289,116.713323428571,NA,35.7854864676888
"28","ETH-USD",2019-01-28,113.285233,113.688232,103.336464,106.589973,3366895505,106.589973,115.203626428571,NA,31.3306512296011
"29","ETH-USD",2019-01-29,106.721954,107.165787,103.999229,105.598213,2900418606,105.598213,113.325149571429,NA,30.7311246399057
"30","ETH-USD",2019-01-30,105.407204,109.45298,104.843796,108.907539,2874370355,108.907539,112.104425714286,NA,35.1878234049342
"31","ETH-USD",2019-01-31,108.900772,110.458359,106.525352,107.061012,2828796031,107.061012,110.632729571429,NA,33.8780552989145
"32","ETH-USD",2019-02-01,107.147682,108.63871,105.046501,107.609787,2541271519,107.609787,109.380078857143,NA,34.6564999516904
"33","ETH-USD",2019-02-02,107.466415,110.653877,106.764015,110.43026,2385157838,110.43026,108.514581857143,NA,38.6539326481969
"34","ETH-USD",2019-02-03,110.490318,110.827354,106.563988,107.492668,2519334757,107.492668,107.669921714286,NA,36.1719170476207
"35","ETH-USD",2019-02-04,107.625824,108.701035,107.067421,107.821602,2491888675,107.821602,107.845868714286,NA,36.6623445059163
"36","ETH-USD",2019-02-05,107.628166,108.134789,106.909897,107.44352,2515863999,107.44352,108.109484,NA,36.3169351584726
"37","ETH-USD",2019-02-06,107.569305,107.569305,102.934563,104.919289,2593048199,104.919289,107.539734,NA,34.0129189294984
"38","ETH-USD",2019-02-07,104.835777,106.058876,104.409134,104.535301,2326764622,104.535301,107.178918142857,NA,33.6630518585323
"39","ETH-USD",2019-02-08,104.64505,119.805817,104.194435,119.267746,3656841347,119.267746,108.844340857143,NA,53.4481423442623
"40","ETH-USD",2019-02-09,119.214111,120.689735,118.000404,119.430885,2884650400,119.430885,110.130144428571,NA,53.6131276609893
"41","ETH-USD",2019-02-10,119.408966,124.853622,117.105774,124.806488,3148766590,124.806488,112.603547285714,NA,58.7952709410732
"42","ETH-USD",2019-02-11,124.871536,124.871536,120.311752,121.298393,3222473887,121.298393,114.528803142857,NA,54.5151103637128
"43","ETH-USD",2019-02-12,121.178574,123.4683,119.600021,122.572289,3149576429,122.572289,116.690055857143,NA,55.7741549733017
"44","ETH-USD",2019-02-13,122.544289,125.550697,121.612495,122.553604,3386585799,122.553604,119.209243714286,NA,55.7497790578477
"45","ETH-USD",2019-02-14,122.416985,124.451988,121.334892,121.390205,3331701628,121.390205,121.617087142857,NA,54.1625226577473
"46","ETH-USD",2019-02-15,121.453697,123.660126,121.371918,122.100388,3021741615,122.100388,122.021750285714,NA,55.0046882063859
